run,enabled,index,total_ms,clamp_ms,show_ms,corners_ms,border_ms,total_cycles,total_kernel_ms,total_user_ms,show_cycles,show_kernel_ms,show_user_ms
3,1,48,1.539300,0.093700,1.224000,0.033400,0.188200,3153012,0.0,0.0,2470974,0.0,0.0
3,1,49,7.092900,0.267500,6.446500,0.032000,0.346900,8594435,0.0,0.0,7524009,0.0,0.0
3,1,50,2.092600,0.072100,1.766900,0.031400,0.222200,3918892,0.0,0.0,3219876,0.0,0.0
3,1,51,2.638000,0.121300,2.259200,0.031500,0.226000,4841340,0.0,0.0,4027674,0.0,0.0
3,1,52,1.734800,0.094700,1.400600,0.031000,0.208500,3618952,0.0,0.0,2883048,0.0,0.0
3,1,53,5.412600,1.966600,2.741800,0.039400,0.664800,6378126,0.0,0.0,2946137,0.0,0.0
3,1,54,3.329900,0.310700,2.710700,0.036900,0.271600,5090976,0.0,0.0,4070433,0.0,0.0
3,1,55,1.693200,0.279400,1.159000,0.031400,0.223400,3336622,0.0,0.0,2394680,0.0,0.0
3,1,56,3.065000,0.724100,2.038900,0.031500,0.270500,4695667,15.625,0.0,3552510,15.625,0.0
3,1,57,3.589400,1.951300,1.345700,0.034500,0.257900,6140861,0.0,0.0,2692731,0.0,0.0
3,1,58,3.209700,0.206500,2.667200,0.033200,0.302800,4824147,0.0,0.0,3902538,0.0,0.0
3,1,59,2.271600,0.086200,1.910300,0.035100,0.240000,4410192,0.0,0.0,3633414,0.0,0.0
3,1,60,2.288300,0.105800,1.864300,0.037300,0.280900,4762740,0.0,0.0,3894368,0.0,0.0
3,1,61,2.248700,0.104600,1.736500,0.059600,0.348000,4051151,0.0,0.0,3025996,0.0,0.0
3,1,62,2.139300,0.104800,1.765900,0.035800,0.232800,4343960,0.0,0.0,3541192,0.0,0.0
3,1,63,2.315800,0.154800,1.844200,0.031600,0.285200,4480200,0.0,0.0,3594641,0.0,0.0
3,1,64,2.744100,0.102700,2.247800,0.082400,0.311200,4738009,0.0,0.0,3759387,0.0,0.0
3,1,65,2.123700,0.101000,1.735700,0.031800,0.255200,4365131,0.0,0.0,3535743,0.0,0.0
3,1,66,2.162700,0.103000,1.275300,0.035200,0.749200,3903380,0.0,0.0,2638863,0.0,0.0
3,1,67,2.157000,0.110700,1.690000,0.038700,0.317600,4401812,0.0,0.0,3476217,0.0,0.0
3,1,68,1.740000,0.118300,1.317400,0.035100,0.269200,3626708,0.0,0.0,2725009,0.0,0.0
3,1,69,4.099000,0.935600,2.763500,0.035300,0.364600,5280451,0.0,0.0,3835470,0.0,0.0
3,1,70,2.316500,0.096300,1.835300,0.036500,0.348400,4577664,0.0,0.0,3572841,0.0,0.0
3,1,71,4.820200,0.169800,2.417200,0.038900,2.194300,8110265,0.0,0.0,4240628,0.0,0.0
3,1,72,2.786200,0.107000,2.380800,0.030300,0.268100,4893532,0.0,0.0,4030609,0.0,0.0
3,1,73,2.777400,0.086800,2.465600,0.036100,0.188900,4588773,0.0,0.0,3909878,0.0,0.0
3,1,74,1.659800,0.093000,1.253700,0.091000,0.222100,3196400,0.0,0.0,2418365,0.0,0.0
3,1,75,3.245800,0.092300,2.291100,0.030400,0.832000,4797535,0.0,0.0,3618534,0.0,0.0
3,1,76,2.426700,0.107500,1.709300,0.042400,0.567500,4162445,0.0,0.0,2929998,0.0,0.0
3,1,77,4.192600,0.102100,2.079600,0.035200,1.975700,8438077,0.0,0.0,4093488,0.0,0.0
3,1,78,3.763700,0.105200,3.188900,0.031600,0.438000,5168527,0.0,0.0,4160979,0.0,0.0
3,1,79,3.079200,0.448300,2.362200,0.032700,0.236000,5070015,0.0,0.0,3936916,0.0,0.0
3,1,80,1.888200,0.090100,1.563700,0.031900,0.202500,3844902,0.0,0.0,3148821,0.0,0.0
3,1,81,2.250000,0.092000,1.910700,0.032600,0.214700,4352972,0.0,0.0,3625031,0.0,0.0
3,1,82,4.111400,0.083900,3.721800,0.051800,0.253900,6899404,0.0,0.0,6086995,0.0,0.0
3,1,83,2.077400,0.109200,1.705400,0.031600,0.231200,4302671,0.0,0.0,3531761,0.0,0.0
3,1,84,6.288400,0.183900,5.646000,0.035900,0.422600,7993725,0.0,0.0,6912189,0.0,0.0
3,1,85,3.519700,0.109300,3.024600,0.039700,0.346100,6736545,0.0,0.0,5703009,0.0,0.0
