run,sample,total_ms,prelude_ms,pool_ms,validation_ms,move_ms,build_return_ms,assert_hwnd_ms,recycle_prelude_ms,hide_ms,recycle_return_ms,assert_recycled_ms
2,24,0.4866,0.0249,0.021,0.0058,0.3382,0.0362,0.0064,0.0077,0.0137,0.0174,0.0153
2,25,0.7182,0.0299,0.0221,0.0071,0.4433,0.037,0.0074,0.0067,0.1272,0.0214,0.0161
2,26,0.6457,0.032,0.0263,0.0087,0.4794,0.0432,0.0088,0.0063,0.0117,0.0155,0.0138
2,27,0.5287,0.0364,0.02,0.0064,0.3747,0.0436,0.0069,0.0062,0.0107,0.0135,0.0103
2,28,0.4366,0.0211,0.0165,0.005,0.2972,0.0388,0.0101,0.0067,0.0135,0.0164,0.0113
2,29,0.4771,0.0264,0.0186,0.006,0.3365,0.0351,0.0062,0.0067,0.0116,0.0166,0.0134
2,30,0.4648,0.027,0.0199,0.0064,0.3252,0.034,0.0067,0.0063,0.011,0.0152,0.0131
2,31,0.4576,0.0253,0.0197,0.0062,0.3275,0.0296,0.0061,0.0064,0.011,0.0147,0.0111
2,32,0.5811,0.0263,0.0193,0.0066,0.3471,0.0307,0.0067,0.0062,0.0962,0.0255,0.0165
2,33,0.5353,0.0327,0.0233,0.0087,0.3748,0.0359,0.0075,0.0072,0.0135,0.0184,0.0133
2,34,0.573,0.0313,0.0232,0.0077,0.3851,0.053,0.0085,0.008,0.0161,0.0211,0.019
2,35,0.6199,0.0339,0.0263,0.0145,0.422,0.0546,0.0084,0.0075,0.0157,0.0202,0.0168
2,36,0.7726,0.0323,0.0217,0.0064,0.5632,0.0621,0.0106,0.0109,0.0192,0.0258,0.0204
2,37,0.8239,0.0412,0.0294,0.0083,0.5994,0.0588,0.0106,0.0105,0.0193,0.0255,0.0209
2,38,0.8171,0.0409,0.0299,0.0086,0.611,0.0518,0.0096,0.0085,0.0178,0.0215,0.0175
2,39,0.7801,0.0354,0.0287,0.0083,0.4853,0.0505,0.0099,0.0086,0.0792,0.0336,0.0406
2,40,0.9923,0.04,0.0308,0.0083,0.7526,0.0719,0.0118,0.0099,0.0186,0.0264,0.022
2,41,0.7636,0.042,0.0327,0.0093,0.5443,0.056,0.0093,0.0096,0.0187,0.0216,0.0201
2,42,0.8367,0.0309,0.0244,0.0074,0.6336,0.0636,0.0088,0.0082,0.0176,0.0243,0.0179
2,43,0.717,0.037,0.0286,0.0077,0.5216,0.0589,0.0086,0.0076,0.0124,0.019,0.0156
2,44,0.6021,0.0289,0.0216,0.006,0.4406,0.0405,0.0076,0.008,0.0147,0.0194,0.0148
2,45,0.5958,0.0306,0.0262,0.0078,0.4272,0.0414,0.0075,0.0077,0.0132,0.0193,0.0149
2,46,0.5966,0.0303,0.0229,0.0068,0.4331,0.0422,0.0074,0.0083,0.0124,0.0186,0.0146
2,47,0.5438,0.0296,0.0231,0.0067,0.3902,0.0372,0.0069,0.0072,0.0123,0.0171,0.0135
2,48,0.5126,0.0273,0.0213,0.0066,0.3682,0.0351,0.0072,0.0064,0.0118,0.0156,0.0131
2,49,0.5114,0.0264,0.02,0.0068,0.3645,0.0381,0.0066,0.0069,0.0115,0.016,0.0146
2,50,0.4892,0.0283,0.0223,0.0066,0.3485,0.0315,0.0061,0.0063,0.0111,0.0153,0.0132
2,51,0.4719,0.0255,0.0186,0.0067,0.3421,0.0303,0.0063,0.0063,0.0107,0.0139,0.0115
2,52,0.4588,0.0241,0.0189,0.0059,0.3345,0.0292,0.0061,0.006,0.0104,0.0132,0.0105
2,53,0.4477,0.0236,0.0178,0.0057,0.3261,0.0282,0.0058,0.0058,0.0106,0.0136,0.0105
